,Fecha,PM10,PM2.5,SO2,NO2,O3
129,2024-11-05,11.5725,5.53041667,0.6575,23.33416667,22.24
130,2024-11-04,8.68416667,4.3125,0.49333333,19.98541667,19.61791667
131,2024-11-03,16.67565217,10.48130435,1.09608696,17.18695652,27.61
132,2024-11-02,16.41166667,9.785,0.43166667,23.98666667,29.32041667
133,2024-11-01,16.20666667,8.93416667,0.53875,31.75916667,27.67125
134,2024-10-31,15.01041667,8.07583333,0.9173913,25.06043478,29.60826087
135,2024-10-30,20.73208333,11.69416667,0.57541667,35.09958333,27.42958333
136,2024-10-29,20.87916667,11.245,0.69916667,33.94333333,24.51791667
137,2024-10-28,18.35125,10.44708333,0.61083333,30.62583333,23.70208333
138,2024-10-27,19.28347826,12.20217391,0.36913043,29.19130435,24.65521739
139,2024-10-26,19.34916667,11.06166667,0.4525,30.43666667,33.39875
140,2024-10-25,15.78833333,9.02583333,1.05041667,29.51791667,33.31416667
141,2024-10-24,12.27375,6.98833333,0.805,23.5925,27.96458333
142,2024-10-23,12.35041667,6.67958333,0.3775,22.94083333,26.63875
143,2024-10-22,8.635,4.64375,0.27,22.19583333,29.7125
144,2024-10-21,13.69041667,7.45416667,0.46416667,19.55083333,35.04083333
145,2024-10-20,14.42304348,8.51434783,1.3473913,20.96913043,42.21826087
146,2024-10-19,21.54291667,12.46083333,0.59791667,31.04333333,33.65125
147,2024-10-18,21.51208333,12.50041667,0.525,33.07291667,35.81125
148,2024-10-17,17.21875,9.23666667,0.65818182,26.64863636,31.19272727
149,2024-10-16,15.12041667,6.31333333,1.14041667,24.65916667,40.66166667
150,2024-10-15,17.01041667,8.18291667,1.02208333,26.81583333,30.3375
151,2024-10-14,14.795,8.11208333,0.60083333,20.30041667,31.43
152,2024-10-13,18.04913043,11.35608696,0.59173913,26.50565217,26.0726087
153,2024-10-12,16.67083333,8.86916667,0.48416667,29.77375,31.32625
154,2024-10-11,12.45875,6.10458333,1.47041667,26.52791667,32.11083333
155,2024-10-10,10.72791667,5.84291667,0.40083333,23.01791667,24.04458333
156,2024-10-09,12.2625,6.05666667,1.01208333,23.98208333,35.6475
157,2024-10-08,15.89375,8.89541667,0.57708333,26.03541667,34.72083333
158,2024-10-07,13.76166667,8.18208333,0.27458333,23.05791667,30.76833333
159,2024-10-06,12.00434783,7.08913043,0.89521739,13.96,38.54304348
160,2024-10-05,12.93166667,6.59166667,0.8925,,32.38083333
161,2024-10-04,16.48375,9.43333333,0.86958333,,31.37708333
162,2024-10-03,13.07666667,6.5475,3.54304348,,35.08863636
163,2024-10-02,14.34375,7.945,0.30625,25.88,26.30041667
164,2024-10-01,14.67,7.70291667,0.34625,29.49791667,21.255
165,2024-09-30,12.715,6.76416667,0.31291667,26.31333333,23.06583333
166,2024-09-29,9.78043478,6.57695652,0.50608696,28.73,34.27869565
167,2024-09-28,12.20416667,7.3025,0.27416667,,30.51125
168,2024-09-27,17.21958333,8.46583333,0.58125,,32.98708333
